species	tree_id	in_tree	species_status	assembly_status	callable_fraction	reconstructed_fraction	n_fraction	internal_stop_count_naive	frame_remainder	supported_events	quality_score	strict_species_intact	conflicting_fallback_eligible	selected	selection_tier	rejection_reason
Saiga tatarica	Saiga_tatarica	True	DISRUPTED_POSSIBLE	DISRUPTED_POSSIBLE	0.444205238607822	0.444205238607822	0.5489981785063752	14	0	8	88.77248260779983	False	False	False		loss_status_excluded;callable_below_0.70
Sylvicapra grimmia	Sylvicapra_grimmia	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.9705776820954432	0.9705776820954432	0.0076979472140762464	47	1	18	132.90561182351698	False	False	False		not_intact_background_status
Syncerus caffer	Syncerus_caffer	True	DISRUPTED_LIKELY	DISRUPTED_STRONG	0.7944025834230355	0.7944025834230355	0.18422991893883567	27	2	13	147.3163803917626	False	False	False		loss_status_excluded
Tragelaphus buxtoni	Tragelaphus_buxtoni	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.5895227843559383	0.5895227843559383	0.397677793904209	16	2	7	83.36192454466483	False	False	False		not_intact_background_status;callable_below_0.70
Tragelaphus eurycerus	Tragelaphus_eurycerus	True	DISRUPTED_LIKELY	DISRUPTED_STRONG	0.8923573735199138	0.8923573735199138	0.08394160583941605	33	1	16	161.09762479585547	False	False	False		loss_status_excluded
Tragelaphus imberbis	Tragelaphus_imberbis	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.8952278435593829	0.8952278435593829	0.08421436383521691	32	1	11	124.37895468322252	False	False	False		not_intact_background_status
Tragelaphus oryx	Tragelaphus_oryx	True	DISRUPTED_POSSIBLE	DISRUPTED_POSSIBLE	0.3710082526013635	0.3710082526013635	0.6185117967332123	7	1	4	75.38427267112297	False	False	False		loss_status_excluded;callable_below_0.70
Tragelaphus scriptus	Tragelaphus_scriptus	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.47613921779691426	0.47613921779691426	0.5207506315409599	16	2	6	72.00557914409066	False	False	False		not_intact_background_status;callable_below_0.70
Tragelaphus spekii	Tragelaphus_spekii	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.8338715464657338	0.8338715464657338	0.14743356388787768	34	2	14	116.9560041462461	False	False	False		not_intact_background_status
Tragelaphus strepsiceros	Tragelaphus_strepsiceros	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.8442770003588087	0.8442770003588087	0.1388184124682856	33	2	15	118.08270104974952	False	False	False		not_intact_background_status
Tragulus javanicus	Tragulus_javanicus	True	UNRESOLVED	UNRESOLVED_ASSEMBLY_GAP	0.5371367061356297	0.5371367061356297	0.45684736091298145	14	2	9	83.42940679617963	False	False	False		not_intact_background_status;callable_below_0.70
Tragulus kanchil	Tragulus_kanchil	True	DISRUPTED_LIKELY	DISRUPTED_STRONG	0.5313957660566918	0.5313957660566918	0.4618945868945869	17	0	6	122.42409410601772	False	False	False		loss_status_excluded;callable_below_0.70
