orthogroup	Ceratotherium simum	Diceros bicornis	Equus asinus	Equus quagga	Equus caballus	Canis lupus	Bos taurus
LOC101396313_	LOC101396313_	PPP1CB_	PPP1CB_	PPP1CB_	PPP1CB_	PPP1CB_	PPP1CB_
LOC101396139_	LOC101396139_	PLB1_	PLB1_	PLB1_	PLB1_	PLB1_	PLB1_
LOC101397104_	LOC101397104_	FOSL2_	FOSL2_	FOSL2_	FOSL2_	FOSL2_	FOSL2_
LOC101397360_	LOC101397360_	BABAM2_	BABAM2_	BABAM2_	BABAM2_	BABAM2_	BABAM2_
LOC101397956_	LOC101397956_	RBKS_	RBKS_	RBKS_	RBKS_	RBKS_	RBKS_
LOC101398633_	LOC101398633_	SLC4A1AP_	SLC4A1AP_	SLC4A1AP_	SLC4A1AP_	LOC112664610_	SLC4A1AP_
LOC101399074_	LOC101399074_	SUPT7L_	SUPT7L_	SUPT7L_	SUPT7L_	LOC112651131_	SUPT7L_
LOC101399331_	LOC101399331_	GPN1_	GPN1_	GPN1_	GPN1_	GPN1_	GPN1_
LOC101396400_	LOC101396400_	LOC131411690_	CCDC121_	CCDC121_	CCDC121_	CCDC121_	CCDC121_
LOC101400286_	LOC101400286_	ZNF512_	ZNF512_	ZNF512_	ZNF512_	ZNF512_	ZNF512_
LOC101400908_	LOC101400908_	GCKR_	GCKR_	GCKR_	GCKR_	GCKR_	GCKR_
LOC101401178_	LOC101401178_	FNDC4_	FNDC4_	FNDC4_	FNDC4_	FNDC4_	FNDC4_
LOC101401437_	LOC101401437_	IFT172_	IFT172_	IFT172_	IFT172_	IFT172_	IFT172_
LOC101401966_	LOC101401966_	KRTCAP3_	KRTCAP3_	KRTCAP3_	KRTCAP3_	KRTCAP3_	KRTCAP3_
LOC101401699_	LOC101401699_	NRBP1_	NRBP1_	NRBP1_	NRBP1_	NRBP1_	NRBP1_
LOC101402553_	LOC101402553_	PPM1G_	PPM1G_	PPM1G_	PPM1G_	PPM1G_	PPM1G_
LOC101402823_	LOC101402823_	ZNF513_	ZNF513_	ZNF513_	ZNF513_	ZNF513_	ZNF513_
LOC101403089_	LOC101403089_	SNX17_	SNX17_	SNX17_	SNX17_	SNX17_	SNX17_
LOC101403868_	LOC101403868_	EIF2B4_	EIF2B4_	EIF2B4_	EIF2B4_	EIF2B4_	EIF2B4_
LOC101404324_	LOC101404324_	GTF3C2_	GTF3C2_	GTF3C2_	GTF3C2_	GTF3C2_	GTF3C2_
LOC101404753_	LOC101404753_	MPV17_	MPV17_	MPV17_	MPV17_	MPV17_	MPV17_
LOC101405014_	LOC101405014_	UCN_	UCN_	UCN_	UCN_	UCN_	UCN_
